date,value
2022-09-25,-2262000000.0
2021-09-26,-1888000000.0
2020-09-27,-1407000000.0
2019-09-29,-887000000.0
2018-09-30,-784000000.0
2017-09-24,-690000000.0
2016-09-25,-539000000.0
2015-09-27,-994000000.0
2014-09-28,-1185000000.0
2013-09-29,-1048000000.0
2012-09-30,-1284000000.0
2011-09-25,-593000000.0
2010-09-26,-1490000000.0
2009-09-27,-761000000.0
2008-09-28,-1397000000.0
2007-09-30,-818000000.0
2006-09-24,-685000000.0
2005-09-25,-576000000.0
2004-09-30,-332000000.0
2003-09-30,-238869000.0
2002-09-30,-141578000.0
2001-09-30,-114191000.0
2000-09-30,-163182000.0
1999-09-30,-180237000.0
1998-09-30,-321566000.0
1997-09-30,-163115000.0
1996-09-30,-216600000.0
1995-09-30,-99500000.0
1994-09-30,-68700000.0
1993-09-30,-49600000.0
1992-09-30,-8300000.0
1991-09-30,-6700000.0
