date,value
2021-12-31,-4487000000.0
2020-12-31,-4362000000.0
2019-12-31,-3241000000.0
2018-12-31,-2280000000.0
2017-12-31,-3076000000.0
2016-12-31,-3035000000.0
2015-12-31,-3852000000.0
2014-12-31,-3994000000.0
2013-12-31,-4574000000.0
2012-12-31,-6379000000.0
2011-12-31,-6216000000.0
2010-12-31,-7904000000.0
2009-12-31,-8376000000.0
2008-12-31,-8996000000.0
2007-12-31,-6916000000.0
2006-12-31,-4083000000.0
2005-12-31,-2990000000.0
2004-12-31,-2712000000.0
2003-12-31,-2660000000.0
2002-12-31,-3210000000.0
2001-12-31,-3769594140.0
2000-12-31,-3757467460.0
1999-12-31,-2533170710.0
1998-12-31,-3690312480.0
1997-12-31,-3116815065.0
