date,value
2022-09-25,-7800000000.0
2021-09-26,-461000000.0
2020-09-27,-1607000000.0
2019-09-29,-1224000000.0
2018-09-30,1460000000.0
2017-09-24,424000000.0
2016-09-25,-153000000.0
2015-09-27,-1947000000.0
2014-09-28,-618000000.0
2013-09-29,-115000000.0
2012-09-30,-665000000.0
2011-09-25,442000000.0
2010-09-26,-46000000.0
2009-09-27,3993000000.0
2008-09-28,-708000000.0
2007-09-30,24000000.0
2006-09-24,-13000000.0
2005-09-25,15000000.0
2004-09-30,150000000.0
2003-09-30,62722000.0
2002-09-30,-144226000.0
2001-09-30,-360235000.0
2000-09-30,-483794000.0
1999-09-30,-372471000.0
1998-09-30,-394401000.0
1997-09-30,-190995000.0
1996-09-30,-134500000.0
1995-09-30,-8300000.0
1994-09-30,-700000.0
1993-09-30,-9400000.0
1992-09-30,-3700000.0
1991-09-30,3200000.0
