date,value
2022-09-25,1762000000.0
2021-09-26,1582000000.0
2020-09-27,1393000000.0
2019-09-29,1401000000.0
2018-09-30,1561000000.0
2017-09-24,1461000000.0
2016-09-25,1428000000.0
2015-09-27,1214000000.0
2014-09-28,1150000000.0
2013-09-29,1017000000.0
2012-09-30,897000000.0
2011-09-25,1061000000.0
2010-09-26,666000000.0
2009-09-27,635000000.0
2008-09-28,456000000.0
2007-09-30,383000000.0
2006-09-24,272000000.0
2005-09-25,200000000.0
2004-09-30,163000000.0
2003-09-30,179694000.0
2002-09-30,394257000.0
2001-09-30,319811000.0
2000-09-30,243842000.0
1999-09-30,158429000.0
1998-09-30,141892000.0
1997-09-30,93598000.0
1996-09-30,56800000.0
1995-09-30,30900000.0
1994-09-30,18800000.0
1993-09-30,9800000.0
1992-09-30,7200000.0
1991-09-30,5800000.0
1990-09-30,5600000.0
