date,value
2021-12-31,3922000000.0
2020-12-31,4166000000.0
2019-12-31,2502000000.0
2018-12-31,1575000000.0
2017-12-31,2769000000.0
2016-12-31,3823000000.0
2015-12-31,11894000000.0
2014-12-31,8667000000.0
2013-12-31,5273000000.0
2012-12-31,5078000000.0
2011-12-31,7081000000.0
2010-12-31,6457000000.0
2009-12-31,3981000000.0
2008-12-31,6890000000.0
2007-12-31,3194000000.0
2006-12-31,3751000000.0
2005-12-31,3068000000.0
2004-12-31,3256000000.0
2003-12-31,3272000000.0
2002-12-31,6767000000.0
2001-12-31,4460798790.0
2000-12-31,4903127700.0
1999-12-31,3174165260.0
1998-12-31,2829978540.0
1997-12-31,2415452130.0
