date,value
2021-12-31,77358000000
2020-12-31,60944000000
2019-12-31,41003000000
2018-12-31,29565000000
2017-12-31,37965000000
2016-12-31,38173000000
2015-12-31,116218000000
2014-12-31,111556000000
2013-12-31,122450000000
2010-12-31,92863000000
2012-12-31,132093000000
2011-12-31,112954000000
2009-12-31,81817000000
2008-12-31,86753000000
2007-12-31,68731000000
2006-12-31,64197000000
2005-12-31,51854000000
2004-12-31,44745000000
2001-12-31,79695334190
2003-12-31,42541000000
2002-12-31,35927000000
2000-12-31,82947504960
1999-12-31,53060435680
1998-12-31,42803532000
1997-12-31,42010594353
